"Country","Climate zone","Avg °F","Avg °C","Total Score and Status","Population","GDP","HDI","death_number"
"Monaco","CSB",60.87,16.04,"84 Free",38967,7383745662,NA,1044.27422453499
"Mongolia","BSK",34.2,1.22,"84 Free",3225166,14206359007,0.746,4905.53085943356
"Mongolia","BSK",34.2,1.22,"84 Free",3225166,14206359007,0.746,119404.861988033
"Montenegro","CFB",54.03,12.24,"67 Partly Free",622028,5542201151,0.837,1488.23659470386
"Montenegro","CFB",54.03,12.24,"67 Partly Free",622028,5542201151,0.837,27055.7941544573
"Morocco","BSH",70.63,21.46,"37 Partly Free",36471766,1.1987e+11,0.682,72011.5241880565
"Morocco","BSH",70.63,21.46,"37 Partly Free",36471766,1.1987e+11,0.682,1551022.56649905
"Mozambique","AW",78.12,25.62,"43 Partly Free",30366043,15390031040,0.456,8936.37210663838
"Mozambique","AW",78.12,25.62,"43 Partly Free",30366043,15390031040,0.456,224072.188919713
"Myanmar","AW",80.64,27.02,"9 Not Free",54045422,68697759361,0.598,40583.2029928784
"Myanmar","AW",80.64,27.02,"9 Not Free",54045422,68697759361,0.598,915053.860327715
"Namibia","BWH",76.03,24.46,"77 Free",2494524,12543203411,0.639,1373.77218686899
"Namibia","BWH",76.03,24.46,"77 Free",2494524,12543203411,0.639,29184.2353035518
"Nauru","AF",83.05,28.36,"77 Free",10764,118724073.8,NA,12.976183025422
"Nauru","AF",83.05,28.36,"77 Free",10764,118724073.8,NA,451.794345241688
"Nepal","CWB",71.6,22,"57 Partly Free",28608715,34186190996,0.611,23742.5838229947
"Nepal","CWB",71.6,22,"57 Partly Free",28608715,34186190996,0.611,554817.290739997
"Netherlands","CFB",52.86,11.59,"97 Free",17344874,9.10194e+11,0.943,17642.1348771417
"Netherlands","CFB",52.86,11.59,"97 Free",17344874,9.10194e+11,0.943,262543.261700514
"New Zealand","CFB",55.53,13.07,"99 Free",4979200,2.13435e+11,0.937,6491.93136596657
"New Zealand","CFB",55.53,13.07,"99 Free",4979200,2.13435e+11,0.937,92779.3957840205
"Nicaragua","AM",79.66,26.48,"23 Not Free",6545503,12596636042,0.664,5091.06488651161
"Nicaragua","AM",79.66,26.48,"23 Not Free",6545503,12596636042,0.664,93814.6131192547
"Niger","BWH",89.67,32.04,"51 Partly Free",23310719,12916455161,0.406,6756.26287663045
"Niger","BWH",89.67,32.04,"51 Partly Free",23310719,12916455161,0.406,157403.660554363
"Nigeria","AW",85.03,29.46,"43 Partly Free",200963603,4.4812e+11,0.538,69581.497421776
"Nigeria","AW",85.03,29.46,"43 Partly Free",200963603,4.4812e+11,0.538,1507241.39716359
"North Korea","DWB",48.65,9.25,"3 Not Free",NA,NA,NA,NA
"North Macedonia","CFB",55.92,13.29,"67 Partly Free",2076694,12606338449,0.784,5155.79763273725
"North Macedonia","CFB",55.92,13.29,"67 Partly Free",2076694,12606338449,0.784,96606.2682285872
"Norway","DFC",41.05,5.03,"100 Free",5347896,4.04941e+11,0.961,6270.68082315692
"Norway","DFC",41.05,5.03,"100 Free",5347896,4.04941e+11,0.961,86394.6100332201
"Oman","BWH",84.56,29.2,"24 Not Free",4974992,88060858257,0.839,3411.64571059921
"Oman","BWH",84.56,29.2,"24 Not Free",4974992,88060858257,0.839,83213.4456359025
"Pakistan","BWH",69.6,20.89,"37 Partly Free",216565317,3.20909e+11,0.546,183409.434261014
"Pakistan","BWH",69.6,20.89,"37 Partly Free",216565317,3.20909e+11,0.546,5145696.66357031
"Palau","AF",83.35,28.53,"92 Free",18001,274200000,0.776,40.8203986611922
"Palau","AF",83.35,28.53,"92 Free",18001,274200000,0.776,1142.35541033641
"Panama","AM",80.37,26.87,"83 Free",4246440,66984427200,0.817,2510.95678053174
"Panama","AM",80.37,26.87,"83 Free",4246440,66984427200,0.817,44050.1193271392
"Papua New Guinea","AF",73.45,23.03,"62 Partly Free",8776119,24751344561,0.56,7083.79552705665
"Papua New Guinea","AF",73.45,23.03,"62 Partly Free",8776119,24751344561,0.56,210171.790243237
"Paraguay","AW",77.11,25.06,"65 Partly Free",7044639,37925338329,0.732,4752.74995133458
"Paraguay","AW",77.11,25.06,"65 Partly Free",7044639,37925338329,0.732,98105.7895869388
"Peru","AF",63.73,17.63,"72 Free",32510462,2.28323e+11,0.78,16047.6085278154
"Peru","AF",63.73,17.63,"72 Free",32510462,2.28323e+11,0.78,279536.695719793
"Philippines","AF",81,27.22,"55 Partly Free",108116622,3.76823e+11,0.718,97412.1370462447
"Philippines","AF",81,27.22,"55 Partly Free",108116622,3.76823e+11,0.718,2451784.69169738
"Poland","CFB",51.08,10.6,"81 Free",37965475,5.97281e+11,0.881,97188.3567054697
"Poland","CFB",51.08,10.6,"81 Free",37965475,5.97281e+11,0.881,1467054.37796445
"Portugal","CSA",62.26,16.81,"95 Free",10286263,2.39987e+11,0.867,12989.9529717878
"Portugal","CSA",62.26,16.81,"95 Free",10286263,2.39987e+11,0.867,183964.809560889
"Qatar","BWH",85.53,29.74,"25 Not Free",2832071,1.75838e+11,0.859,830.008136951817
"Qatar","BWH",85.53,29.74,"25 Not Free",2832071,1.75838e+11,0.859,24220.3944360184
"Republic of the Congo","AM",81.19,27.33,"17 Not Free",NA,NA,NA,NA
"Romania","DFB",55.15,12.86,"83 Free",19371648,2.49882e+11,0.832,69806.4401983146
"Romania","DFB",55.15,12.86,"83 Free",19371648,2.49882e+11,0.832,1084223.52248718
"Russia","DFC",41.49,5.27,"19 Not Free",NA,NA,NA,NA
"Rwanda","CFB",68.79,20.44,"22 Not Free",12626938,10356327149,0.534,3769.83408890048
